更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
风云音乐,http://180.159.98.21:10001/rtp/239.45.0.52:5140$上海市电信
风云音乐,http://180.159.98.21:10001/rtp/233.18.204.185:5140$上海市电信
风云音乐,http://113.25.107.142:10000/rtp/239.1.1.96:8096$山西电信
风云音乐,http://183.30.202.8:8000/rtp/239.253.43.6:5146$广东电信
风云音乐,http://183.30.202.8:8000/rtp/239.253.43.29:5146$广东电信
风云音乐,http://116.30.248.183:9876/rtp/239.253.43.6:5146$广东电信
风云音乐,http://116.30.248.183:9876/rtp/239.253.43.29:5146$广东电信
风云足球,http://116.30.248.139:9876/rtp/239.253.43.14:5146$广东电信
风云足球,http://116.30.248.139:9876/rtp/239.253.43.20:5146$广东电信
风云足球,http://113.110.203.130:55555/rtp/239.253.43.14:5146$广东电信
风云足球,http://113.110.203.130:55555/rtp/239.253.43.20:5146$广东电信
风云足球,http://111.227.41.176:7000/rtp/239.254.201.222:7251$河北省电信
风云足球,http://180.159.98.21:10001/rtp/239.45.0.43:5140$上海市电信
风云足球,http://180.159.98.21:10001/rtp/233.18.204.176:5140$上海市电信
风云足球,http://113.25.107.142:10000/rtp/239.1.1.101:8101$山西电信
风云足球,http://183.30.202.8:8000/rtp/239.253.43.14:5146$广东电信
风云足球,http://183.30.202.8:8000/rtp/239.253.43.20:5146$广东电信
风云足球,http://116.30.248.183:9876/rtp/239.253.43.14:5146$广东电信
风云足球,http://116.30.248.183:9876/rtp/239.253.43.20:5146$广东电信
风云剧场,http://116.30.248.139:9876/rtp/239.253.43.16:5146$广东电信
风云剧场,http://116.30.248.139:9876/rtp/239.253.43.26:5146$广东电信
风云剧场,http://113.110.203.130:55555/rtp/239.253.43.16:5146$广东电信
风云剧场,http://113.110.203.130:55555/rtp/239.253.43.26:5146$广东电信
风云剧场,http://111.227.41.176:7000/rtp/239.254.201.219:7257$河北省电信
风云剧场,http://180.159.98.21:10001/rtp/239.45.0.50:5140$上海市电信
风云剧场,http://180.159.98.21:10001/rtp/233.18.204.183:5140$上海市电信
风云剧场,http://113.25.107.142:10000/rtp/239.1.1.93:8093$山西电信
风云剧场,http://183.30.202.8:8000/rtp/239.253.43.16:5146$广东电信
风云剧场,http://183.30.202.8:8000/rtp/239.253.43.26:5146$广东电信
风云剧场,http://116.30.248.183:9876/rtp/239.253.43.16:5146$广东电信
风云剧场,http://116.30.248.183:9876/rtp/239.253.43.26:5146$广东电信
怀旧剧场,http://116.30.248.139:9876/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://116.30.248.139:9876/rtp/239.253.43.25:5146$广东电信
怀旧剧场,http://113.110.203.130:55555/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://113.110.203.130:55555/rtp/239.253.43.25:5146$广东电信
怀旧剧场,http://111.227.41.176:7000/rtp/239.254.201.220:7256$河北省电信
怀旧剧场,http://180.159.98.21:10001/rtp/239.45.0.49:5140$上海市电信
怀旧剧场,http://180.159.98.21:10001/rtp/233.18.204.182:5140$上海市电信
怀旧剧场,http://113.25.107.142:10000/rtp/239.1.1.95:8095$山西电信
怀旧剧场,http://183.30.202.8:8000/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://183.30.202.8:8000/rtp/239.253.43.25:5146$广东电信
怀旧剧场,http://116.30.248.183:9876/rtp/239.253.43.5:5146$广东电信
怀旧剧场,http://116.30.248.183:9876/rtp/239.253.43.25:5146$广东电信
第一剧场,http://116.30.248.139:9876/rtp/239.253.43.15:5146$广东电信
第一剧场,http://116.30.248.139:9876/rtp/239.253.43.28:5146$广东电信
第一剧场,http://113.110.203.130:55555/rtp/239.253.43.15:5146$广东电信
第一剧场,http://113.110.203.130:55555/rtp/239.253.43.28:5146$广东电信
第一剧场,http://111.227.41.176:7000/rtp/239.254.201.218:7258$河北省电信
第一剧场,http://180.159.98.21:10001/rtp/239.45.0.51:5140$上海市电信
第一剧场,http://180.159.98.21:10001/rtp/233.18.204.184:5140$上海市电信
第一剧场,http://113.25.107.142:10000/rtp/239.1.1.94:8094$山西电信
第一剧场,http://183.30.202.8:8000/rtp/239.253.43.15:5146$广东电信
第一剧场,http://183.30.202.8:8000/rtp/239.253.43.28:5146$广东电信
第一剧场,http://116.30.248.183:9876/rtp/239.253.43.15:5146$广东电信
第一剧场,http://116.30.248.183:9876/rtp/239.253.43.28:5146$广东电信
女性时尚,http://116.30.248.139:9876/rtp/239.253.43.8:5146$广东电信
女性时尚,http://116.30.248.139:9876/rtp/239.253.43.23:5146$广东电信
女性时尚,http://113.110.203.130:55555/rtp/239.253.43.8:5146$广东电信
女性时尚,http://113.110.203.130:55555/rtp/239.253.43.23:5146$广东电信
女性时尚,http://111.227.41.176:7000/rtp/239.254.201.228:7255$河北省电信
女性时尚,http://180.159.98.21:10001/rtp/239.45.0.47:5140$上海市电信
女性时尚,http://180.159.98.21:10001/rtp/233.18.204.180:5140$上海市电信
女性时尚,http://113.25.107.142:10000/rtp/239.1.1.89:8089$山西电信
女性时尚,http://183.30.202.8:8000/rtp/239.253.43.8:5146$广东电信
女性时尚,http://183.30.202.8:8000/rtp/239.253.43.23:5146$广东电信
